36,45,17,18,2293,3049,1714,1912.9,0,0
182,191,90,91,37261,49471,15826.2,17135.6,0.02,0.02
520,529,259,260,254673,338483,64217.4,72378.3,0.07,0.07
1130,1139,564,565,1.10888e+06,1.4743e+06,275614,314552,0.32,0.32
2092,2101,1045,1046,3.63182e+06,4.83194e+06,864846,992930,1,1
3486,3495,1742,1743,9.82372e+06,1.30727e+07,2.30417e+06,2.64987e+06,2.65,2.65
5392,5401,2695,2696,2.3103e+07,3.0751e+07,5.36105e+06,6.17572e+06,6.18,6.18
7890,7899,3944,3945,4.88835e+07,6.50801e+07,1.12595e+07,1.30208e+07,13.03,13.03
11060,11069,5529,5530,9.5289e+07,1.26868e+08,2.22101e+07,2.56759e+07,25.69,25.69
14982,14991,7490,7491,1.73781e+08,2.31397e+08,4.06176e+07,4.69861e+07,47.01,47
